stopword removal,Score,Sentiment
hancurnya negara pajak mencekik rakyat hukum tajam tumpul kebal hukumtak tersentuh jabatan ahli semoga ulang nkri hadiah perbaikan sahkan ruu perampasan asset koruptor ruu hukum mati koruptor merdeka nkri,-3,Negatif
intinya dewan perwakilan rakyat terlibat panggil ketakutandoakan,-1,Negatif
seperi kabinet merah putih menteri berbuat tergantung tangan presiden kebenaran,1,Positif
penikmat uang riza chalid berharap beliau tangkap,-1,Negatif
diskusi merujuk jokowi jokowi amanaman prabowo berani respek banget,1,Positif
alhamdulillah allah manusia manusia engkau pelihara hati pikirannya sellu mu alllah lindungi umur sehatnya rabb,4,Positif
jokowi mangkat ndengkul bali mikulpepatah jawa,0,Netral
pejabat takut menjerat jokowi ranah hukum,-1,Negatif
salut prof makfud mantan kabinet jokowi bersebrangan kebaikan lawannya mendewasaakan,-1,Negatif
koruptornya negeritapi dikejar antartikapengejaran kebablasensehingga koruptornya lolos antartikamaka dikejar antartika masuk negeribegitu kejar kejaran berhentihanya jaksanya lelahreza chalid aman,-3,Negatif
bahas tema reza halik jokowi luhut tidur nyeyak,1,Positif
sensor fer,0,Netral
sesungguhnya mafia korupsi dibaliknya pemimpinpura,-1,Negatif
luhut jokowi bertanggung rusaknya tata kelola negara diadili,0,Netral
jokowi menerima aliran dana rizal chalid lemah pura ngadepin orang jokowi berusaha menggulingkan pemerintahan prabowo bubarkan dewan perwakilan rakyat prabowo jiwa korsa kopassus mati negara buktikan menangkap rizal chalid membasmi koruptor indonesia indonesia gelap hancur,-2,Negatif
pertamina kayanya orang sulit berbuat,-1,Negatif
banyangkan jokowi presiden petugas partai video strap bu ketum video anaknya,0,Netral
allah lindungilah umatmu berjuang kebaikan amin,2,Positif
keputusan presiden jokowi intervensi ketua parpol membiarkan mafia,0,Netral
menurutku orang riza chalid luhut bahlil sri piaraan jokowi jauuuuuhhhh berbahaya dewan perwakilan rakyat,-2,Negatif
kotor,-1,Negatif
hukum indonesia rusak parah,-1,Negatif
parlemen kekuwasaanya cuman mensahkan kepentingan pemerintah menjalankan tugasnya hahok mengabaikan parlemen dki hahok mensahkan anggaran dki parlemen jalankan anggaran keberanian menjalankan kepentingan rakyat senjatanya salah kah jabati kaban jambi,-2,Negatif
prof mohon diperkuat kpk kopasus nyaagar sita harta korupsinya,0,Netral
novantojuga kenyang korupnyarakyatakn mengejar,0,Netral
jokowi kalah luhut mega wati,-1,Negatif
serjana ri kah negara ri sistem presidentil ber ajaskan pancasila presiden pemegang kekuwasaan tertinggi kedudukan presiden kepala negara kepala pemerintahan berhak memperintah pemerintahan penyenggara negara kropsi lolos,1,Positif
alah skip skip penyakit,-2,Negatif
menilai orang tampilan kesing jokowi masuk kekuasaan berubah pemodal mafiadan riza halid bendahara penguasa negeri langgeng mafia migas,-1,Negatif
kesimpulan pikirkan jokowi aslinya terkena penyakit starsindrom,0,Netral
percaya omongan jokowi sudirman said manusia swaktu diam giliran depak jokowi mengoceh ngocehpada suruh mengurusi prifot becusmanusia berbahayasakit hati akut copot,-1,Negatif
lihat pejabat presiden tiongkok china negara korup muskin berubah keberanian presiden shiejinping berani terap hukum mati koruptor beliao sediain peti mati contoh nyata china berubah begara kayak lawan amerika lihat contoh nyata,1,Positif
sudirman said mahfud korban keluguan kebohongan jokowi,-1,Negatif
jokowi andil korupsi mafia indonesia biarkan,-1,Negatif
jokowi jokowi,0,Netral
pejabat pemimpin bupati gub presiden pejabat pembisik unk carmuktapi jkw mahfud segan track record bagus berpengetahuan,0,Netral
dibayangkan maju negeri koruptor hemat milyar perhari dibidang pertamina bidang dialokasikan dana kemakmuran rakyatkemiskinan negeri turun drastis semoga ditangkap mafioso ditangkap,0,Netral
kena morupsi diadili rampas aset asetnya bswa bawa gktu ribet,-3,Negatif
beliau sejarah,0,Netral
presiden prabowo memberantas korupsipilih orang berintegritas beranipak makfud sudiman said masuk jajaran ksbinet,-1,Negatif
berdua orang pintar sayang mengomong doang menjabat prestasi kalin raih indak,2,Positif
rc tersentuh hukum orde barusampai era jokowi,0,Netral
berani bongkar presiden pejabat pemerintah,-1,Negatif
bu mega pdip dibohongi rakyat indonesia tuhan sanggup mengadili,1,Positif
berani mahfud ngeriiii,0,Netral
prabowo berani rizal khaliq prabowo sononya kayak beda presiden hidupnya miskin,-2,Negatif
joko ra,0,Netral
mudahan uu perampasan aset sah membahagiakan rakyat indonesia kelaparan,2,Positif
mudah tergiring berita reza khalid fokus geng solo mnghancurkn negara,0,Netral
diskusi mafia dilindungi penguasa kawal tni mafia tim sukses presiden mafia habis pemimpin berani mafia penyumbang terbesar partai politik,-4,Negatif
wajah indonesia pasca pimpin belia munafik,-1,Negatif
mbah nun akui mbah nun waliyullah guru bangsa indonesia sayangnya masyarakat mencemoohnya memandang beliau sebelah mata mempelajari mbah nun nasabnya kesehariannya karyakaryanya beliau bangsa indonesia dunia,-1,Negatif
jokowi biang kerok indonesia perusak hukum demokrasi indonesia jokowi diadili,-1,Negatif
kelompok membenci jokowi ujungujungnya menghancurkan nkri negara maju amrik eropa dkk dominasi bisnis tambang minyak berhasil disikat pemerintahan jokowi mantan penguasa cendani cikeak chaplin dll monopoli bisnis ambisi politik keluarganya diredam pemerintahan jokowi pengusaha hitam bisnisnya dibantu mantan penguasa korup monopolis ormas anti nkri hti fpi yahudibaalawi antek belanda beserta simpatisan partai politik politisi simpatisannya sakit hati kalah pemilu tokoh masyarakat media pers lsm menyuarakan kepentingan bayaran kelompokkelompok,-4,Negatif
takutlah presiden dipusaran keluarga ketum partai sihhcb cek novanto doang kena nama persidangan tersentuh jabatan jaga presiden tebak sendirilah,-1,Negatif
izin mahfud bahas terkait bpjs kesehatan pengin sudut pandang terima kasih,1,Positif
termul menonton bela,0,Netral
tontonan menginspirasi berharap pemimpin muncul jiwa rela berkorban negeri,-1,Negatif
bersykurindonesia memiliki orang tulus berpikir negara semoga orang lahir rahim pertiwi menjaga indonesia sukses buatmu tegak barisan penjaga pertiwi,3,Positif
ayo berusara orang jujur,1,Positif
dituntut pencemaran nama,-1,Negatif
reza halid diera jokowi pembiaran jokowi mafia takut mafia,-2,Negatif
jokowi petugas partai,-1,Negatif
putus harapan mudahan negara kelola pelaksana pejabat berkompeten bidang mengurus negara rakyat indonesia berkompeten bidang korupsi bangsa cepat pulih maju,-1,Negatif
bangga memilih jokowi pas periode pilihan menterinya mantab susialm rizql ramlipak jonan pas periode menyesal pilih,3,Positif
koreksi salah sudirman said pendukung anis pilpres dukung riza khalid,1,Positif
andaanda menteri kerjakan mendukung dibelakang,0,Netral
pakai prof mahfud terang setengahsetengah mengambil keputusan menetapkan ruu perampasan aset hukuman mati urusan pemerintahan rumit memakan biaya menghasilkan keadilan sesungguhnya pelaku korupsi gila polisi salahbisa rakyat dikorbankan tinggal keberanian jujur orang gila,-2,Negatif
presiden jokowi mamapu lawan mafiaakhir prabowo mafia,0,Netral
kemarin mfud jabat polhukam berani tangkap koruptor kakap mafia markus rezim prabowo berani memberantas koar koar,-4,Negatif
era era keterbukaan masyarakat eksekutif yudikatif legislatif masarakat mendengar kerjakan,1,Positif
negara kuasi mafia prabowo penguasaan parah hancur negara presiden siapanpun sussah orang bikin negara kacau,0,Netral
indonesia orang pintar,0,Netral
tuhkan orang jawajokowi dipercaya,-1,Negatif
bisnis minyak api neraka,0,Netral
isi podcash dijadikan barang bukti menangkap luhut jokowi setya novanto arief hidayat ketua minimal dijadikan tersangka,-2,Negatif
ditontonacara majikannya dulusmoga malu,0,Netral
indonesia menyuruh pertamina mengelola tambang minyak energi pertamina nyuruh asing gali tambang pertamins nyuruh asing olah minyak mentah pertamina beli minyak mimyaknya pertamina kersam asing sumir bor,-1,Negatif
mahfud tolong presiden prabowokejar p ara,1,Positif
pelindung koruptor,0,Netral
mafia berteman jkw lbp nikahan kaesang tamu vip jkw riza,-2,Negatif
sehat panutan anak anak bangsa,-2,Negatif
daya rusaknya,0,Netral
petral bukanya pasjaman es be ye,0,Netral
indonesia sehat langkah adili jokowi nyeret kompi indonesia reset berjalan arah,1,Positif
entar hukuma kayak anak paliiiiing mantap sekelas anak sd,-2,Negatif
semoga kedepan indonesia dipimpin orang integritas mencintai tanah airnya,1,Positif
pemimpin indonesia kebanyakan orang tua pengambilan keputusan eksekusi mafia memikirkan tegang takut kedepan indonesia butuh orang muda kepentingan tegang mengeksekusi mafia korupsi,-2,Negatif
benaran blkg lo chaplin parahnya,0,Netral
salah orang percaya keluguan jokowi merasakan janggal panas hubungan komisaris perusahaan kantor membanggakan sosok jokowi jujur naluri jokowi komisaris perusahaan malu maaf salah menyesal mengajak orang kantor nyoblos jokowi dikantor orang manager technik nyoblos jokowi alhamdulillah kelak diakhirat terbebas memilih perusak dinegara,1,Positif
khalid memiskin rakyat indonesia berkolusi penguasa,-1,Negatif
ayo instrumen negara kuat mari satukan sinergi tenaga membawa mafia sampah bedebah indonesia diadili tempo sesingkat singkatnya rakyat adili mengerikan,0,Netral
prabowo subianto presiden ri terbitkan instruksi presiden bentuk tim gabungan penyidik penegak hukum kejagung polri kpk penyidik kpk penyidik polri penyidik kejagung khusus menyelesaikan mafia migas lembaga pertamina mitra mitranya mafia dana blbi migas pimpinan tim gabungan penyidik langsung bertanggung presiden kepemimpinan kolektif kolegial pimpinan kpk piminan polri pimpinan kejagung ketiganya menandatangani surat surat produksi penyidik hasilnya maksimal,-1,Negatif
istilah petugas partai prabowo ketua partai tekanan partai singkirkan kuat bertahan berubah tekanan,-3,Negatif
kerugian negara bumn perbuatan pejabat negara presiden menteri dewan perwakilan rakyat kaki tangan lihat tangkap,-1,Negatif
md bilang jokowi orang kenyataanya jokowi jahat super pembohong md bicaranya suka bolak tergantung kepentingan md,0,Netral
mulyono kehancuran negeri,0,Netral
tuh pakyai makruf,1,Positif
tersangka eh kabur pelaksana kepolisian kehakiman kejaksaan hukum diperiksa ditertibkan dewan perwakilan rakyat maaf bermutu ujungnya presiden mensahksn ruu anti korupsi sita aset hukuman mati pelakunya perpu rakyat mendukung presiden,-2,Negatif
alasan pertamina boncos beli gas beli bensin rakyat cash ngutang anehnya jualan rugi gila masak tata kelolanya kalah warung madura woii,-1,Negatif
didik usia ciptakan indonesia indah dengar podcast kerja usaha bikin gantungan kunci akrilik pcs keuntungannya ribu insyaallah halal merinding dengar uang triliunan salah kelola negara kayak miskin capres,1,Positif
rakyat indonesia menonton forum,0,Netral
bersatu kapasitas ayo perbaiki negeri,1,Positif
sertai bukti transparansi prof mahmud md beli hukum mafia bilang sandiwara orang kecewa orang bos presiden pertanyanya orang merasakan harumnya uang mafia,0,Netral
kesempatan memilih,0,Netral
gue demo tolak ruu kpk kemarin berhasi eh lolos gunanya turun jalan,-3,Negatif
mahfudh mrenjabat cenderung cari amantiada taring,-2,Negatif
ahok mahfud ri sudirman said menteri bumn dijamin indonesia membaik,-1,Negatif
ungkapan sensor diskip omongannya pengecutblm terang catet,0,Netral
siplester tangkap riza chalid mimpi kali,0,Netral
oligarki jenderal dihentikandari soekarno soeharto jenderal lainpak jokowi berani latar keluarga beliau jenderal prabowo jenderal pembedamaka tegap kuat mengejar bandit negara,-1,Negatif
terbayang anies baswedan presidenorang lemah kuat lawan mafia,0,Netral
podcast tergila,0,Netral
tua orang aneh,-1,Negatif
penjarah rumah dewan perwakilan rakyat langsung ketemu mafia migas dimana,1,Positif
sehat prof mafud,0,Netral
lolos salah,-2,Negatif
jokowi merusak tata kelola negara tata etika membebaskan setnov,0,Netral
istilah sen kiri belok kanan,0,Netral
semestinya tema senantiasa hangatkan masyarakat pokok negeri,0,Netral
baca ulang transkript papa saham,0,Netral
teruslah berjuang mahfudz mdkami rakyat mendukung orang orang mencintai indonesia sebenar benarnya pencitraan berpura purasiapa membela indonesia anak bangsa berdoa indonesia dilindungi dijaga allah,2,Positif
serahkan rakyat pakai beres kuat berhadapan rakyat salah diam membahas sebutkan blakang rakyat selesaikan,0,Netral
segarang garangnya siga takut kobrasegarang garangnya presiden didunia takut mapia,1,Positif
el be pe mafia sesungguhnya,-1,Negatif
aneh menuduh jokowi jokowi petugas partai petugas partai nurut akata ketum partainya paham melindungi setnov riza chalid,-2,Negatif
terimakasuh bapan pemeriksa keuangan prof mafud md cerah membaun moral gererasi penerus bangsa nusantara maju kedepan adil makmur rakyat sejatera damai modal sadar belajar moral pancadila maaf iman gadungan bermoral pancasila mundur pemerintahan dipakai jiwa perusak rumah tangga bangsa negara salam anak bangsa pribumi nusantara cerdas vinta nkri pancasila,3,Positif
ujung petaka negara dipimpin jokowibila berlanjut prabowo o negara bubar,-2,Negatif
keberanian milik orang niat republik apapun taruhanya semoga allah melindungi,2,Positif
massa negara kalah resa halid memalukan berjuta juta rakyat indonesia dikalahkan pengusaha minyak berharap bapan pemeriksa keuangan prabowo basmi mafia migas koruptor kelas kakap yakinlah bapan pemeriksa keuangan pressident tercinta bapan pemeriksa keuangan niat bapan pemeriksa keuangan rakyat,-2,Negatif
golkar,0,Netral
alhamdulilah bapa orang jujur amanah sehatkan allah beliau,4,Positif
ngeri ngeri negeri dinegara kitaini pertamina,-2,Negatif
omongan kalah pretttmereka pikir rakyat dibodohi,-2,Negatif
jokowi atur mak banteng bebas eksekusi,-2,Negatif
forum diperbanyak mengedukasi masyarakat kebenaran tersembunyi mengkuliti seseorangtokoh episode menghadirkan mantan menteri perhubungan ignatius jonan beliau setype sudirman said berpikir bertindak,-2,Negatif
mencerahkan sok great people room,1,Positif
babe sabeni larang doll kerja pertamina prediksi kagak orang sekolah tinggitinggi tukang insinyur kerjanye suruh laut,-1,Negatif
post cast mahfud md bagus supya masyarakat koruptor penjahat elit bangsa pakbiar rakyat paham,0,Netral
semoga mahfud sehat,0,Netral
diskusi menyimpulkan tong kosong nyaring bunyinya orang pemerintahan apap pemerintahan bacot kebanyakan,0,Netral
rakyat marahsemata keadilan korupsi pejabat tersentuh,-3,Negatif
lihat film el chapo kartel narkoba pejabat bermain film kisah nyata mafia migas terbayang kuatnya mafia mafia mainnya prabowo nangkap riza chalid salut banget gua,-3,Negatif
tertipu penampilannya,0,Netral
proff pernyataan bijak pertamina dikelola bijak korup menguntungkan negara,-1,Negatif
patutlah indonesia rakyatnya senang tikus cabinet president pandang bulu nak indonesia rakyat maju atasan berkorban bangsa negara,1,Positif
cepat exkusi koruptor,0,Netral
membasmi orang kuat negara rancang tangan beliau bikin palsu hukum suruh tidur,-1,Negatif
semoga mahfud sudirman tim kondisi sehat walaafiyah,-1,Negatif
bakul bakpao jidat hopeng orang kucluk,0,Netral
menteri dipilih kali penggantian presiden jaman soeharto menjabat menteri,0,Netral
presidennya mafia,-1,Negatif
adili jokowi luhut cs,0,Netral
jokowi membiarkan takut ind keos mafia kuat prabowo menteri presiden orang berantas mafia kuat,-2,Negatif
mentri prabowo memanggil jokowi bos riza chalid bosnya yajokowi menjadikan jokowi masuk presiden terkorup sedunia adili jokowi disamping korupsi kejahatan ijazah palsu ulama kyai terbunuh perpecahan pemilu curang intimidasi penegak hukumkepala daerahketum parpol dsb tangkap adili jokowiindonesia aman,-2,Negatif
coba kaitkan riza khalid jkw halo pintar dikitlah lihat sejarah konfrontasi berdua jkw mengusik bisnisnya aman nyaman sbl era jkw akanlebih masuk riza dikaitkan penguasa terafiliasi silakan buka jejak digital peristiwa papa saham,4,Positif
sulit salahkan rakyat rampas aset,-1,Negatif
trmksh prof podcast informasi rakyat ketahui semoga pemimpin negeri mengambil tindakan perbaikan tata kelolah perminyakan tolong bicarakan mafia tambang negeri kayak pertambangannya dinikmati mafia,-1,Negatif
dampak bom hasil kelicikan pemerintahan dimasa jokowi rusak galanya,0,Netral
berat mudah penguasa lurus kecuali tujuan hidup mencari ridha allah swt pejabat malakukan uang mafia masuk pejabat ketua partai organisasi,-2,Negatif
mahfud mudah menangkap menghancurkan maling minyak serahkan kpda dukun masyarakat,-2,Negatif
sahroni diperltamina kpk kerja,1,Positif
riza zaman orde tinggal pemerintahan berani membereskannya,1,Positif
terang pembicaraanya skip namanya sesuai judulnya,1,Positif
gunung dikeruk hutan digunduli sungai tercemar rakyat debu janji,0,Netral
tuduhkan jokowi njuing,0,Netral
mpud mm diluar istana masuk duduk dikursi empuksuaranya hilang mendengar suara merdu mpud masuk istana moga mpud tergoda tawaran istana buktisilvester disentuh mpud masuk akal mpud mengaku menahu putusan inkrah silvester percaya mpud menko politik hukum keamanan era priode jokowi mpud praktisis hukum kota negara aneh silvester matutina harapan moga mpud tergiur masuk istana,-1,Negatif
undang jokowi beliau hak,1,Positif
p mahfud jujur sikap jokowi,1,Positif
wlpun warga negara dihukumprof ayok koloborasi intel singapore mafia korupsi sikat,-2,Negatif
presiden prabowo terhormat gaperlu lindungi jokowi orang dibelakangnya bikin negara mundur,1,Positif
opini presidennya menumpas mafia koruptor dibackingi ketua partai pengusungnya koalisinya ketua partai menentukan berhak duduk dipemerintahan tunduk ketua partai pejabat independen profesional rekomendasi partai ditentukan presiden langsung akar permasalahan berusaha meniadakan usahanya dicegah ketua partai koruptor mafia dilindungi ketua partai upeti fantastis ketua partai biang keladi bobroknya pemerintahan ketua partai muncul ketua partai kadernya idealis tulen menggantikan orang bobrok,-3,Negatif
haha upeti raja monyet baca minyak coba cari berani cerdik,-1,Negatif
prof mahmud mdpk sudirman saidsehat bapakku pejuang kebenaran,0,Netral
pakai prabowo angkat orang orang inip mahfud p derman tni diperkuat melindungi presidenorang dikumpulkan jadikan mentriok,1,Positif
jokowi mungkingnunggu kekuatan hadapi mafia ahlak mafia itunanyak membekap orang gede hati hati banget,-1,Negatif
kejanggalan merugikan negara ditunggu diproses tidk berlarut larut hilang bukti bukti lobi,0,Netral
mahfud pinterpinter ngeless gunanya menkopolhukam kemarin bilang sampeyan jaringan tata kelola dirusak jokowi sudirman said lulusan stan cuap nol besarteman said didu politik cari aman ngotot uu perampasan aset klaim gue gituya tugas berjuang pilpres arahkonsisten salah salah,-7,Negatif
dunia pendidikan cerminan tumbuh kembang tunas bangsa hancur berantakan era memperbaikinya dibutuhkan,1,Positif
tks pertamina,0,Netral
reza lhalid pulamg negaranya menikmati hasil korupsinyaini adli orang pribumi,0,Netral
pemerintah bangun kilang minyak jawa sumatera kalimantan sulawesi maluku papua nusa tenggara bangun kilang minyak bermain mafia migas,-3,Negatif
intinya negara bangun kilang minyak fokus jawa kilang minyak bangun pulau,-2,Negatif
salah tokoh pengrusakan negara podcast luhut binsar pandjaitan,-1,Negatif
hukum mati,0,Netral
politik anak pki luarbiasa,-2,Negatif
salut mahmud,0,Netral
bahwasannya korupsi dosa melawannya pahlawan individu terhindar,-3,Negatif
orang tom lembong sudirmansaid jujur dipakai era jokowi,0,Netral
golkar ketum orangnya jokowi prabowo dukung jokowi prabowo subianto sandaran rizal halid,2,Positif
era prabowo presiden ketum gerindra golkar ketuai bahlil dahlia orang jokowi anggota dewan perwakilan rakyat ri berkutik kader golkar,-1,Negatif
topik menarik pmahfud mafia migas utu bancak an teman salah agen distributor mi gas pembelian je pertamina jatim teman tangki neto ltnah lantai tangki tudak berisi penuh disitulah teman main mata petugas pertamina satpampetugas pengisi mi gas tangki dst situ teman drum bos unit truk tangki agen jawa timur teman kayak lihat gaji terima pengakuan bersangkutan,-6,Negatif
situ jokowi manfaatkan lembaga hukum terjerat hukum otomatis ott kpk terbukti setya novanto tersangka anggota dewan perwakilan rakyat ri khusus golkar berkutik politiknya jokowi,-1,Negatif
duetkan pemilu ayo gaungkan,1,Positif
namanya masuk pintu pintu ucapan tindakan berbeda namanya penghianat berbicara masyarakat eh didalam mengasih jalan,-2,Negatif
kasihan p jokowi petugas party leluasa bersilaturachmi p surabaya p amin terbatas salam paham p amin untung p surabaya memahami,1,Positif
share alamat rumah aset reza chalidbiar tanggani rakyat uuperampasan aset syahkan jalankan,1,Positif
jokowi terseret berani mengusik,-1,Negatif
maaf senior yth tersirat menggigit tangan orang menghidupi pakai berorientasi pikiranmu mempertimbangkan kemaslahatan strategis mayoritas maaf pepatah anjing menggit tangan tuanya makan pernahkan makan,0,Netral
era prabowo sandaran elit sandaran lanjutkan bisnisnya,3,Positif
ketahui prabowo data birokrasi negara jokowi prabowo presiden,0,Netral
kedekatan rizal halid megawati jokowi pdip dukung prabowo capres jokowi prabowo presiden otomatis mafia migas,2,Positif
prabowo prabowo menteri pertahanan,0,Netral
membully pjokowi pensiun dicari kesalahsn cari solusi terbaik jad komplek ngrumpi,0,Netral
jokowi dukung prabowo adar mafia migas usut elit pemerintahan prabowo,0,Netral
jokowi rizal halid penjara jokowi mendengar megawati,-1,Negatif
alasan jokowi pdip mendukung ganjar pranowo capres,0,Netral
menyimpulkan negara maju rakyatnya sejahtera perlukan sosok presiden jujur tegasgak rakus cerdas bisiki pengaruh buruk orang orang kotor takut mati membrantas orang orang kotor sistem,-3,Negatif
jokowi berpikir megawati pdip,0,Netral
era surabaya rizal halid hatta rajasa bisnisnya berjalan mulus,0,Netral
rizal halid megawati pdip jokowi berani melawan megawati,0,Netral
orang pecatan kecewa nyiyirrr,0,Netral
pemimpin kebaikan kelemahannya pemimpin berupaya berusaha sekerasnya menata negara,1,Positif
perusahaan dirut bersih ceo pemilik perusahaan control dirut keputusahan sendiriitulah jokowi jbtan tahan boneka control memutuskan,3,Positif
mentri maupresiden gubernur pokoknya korupsi anak anak istri istri cucu cucunya tangkap hebat mahpud kawan hayo buka korupsi,-5,Negatif
bandit bandit pemerintahan biarkan rakyat bersatu memberantas rakyat muak,-5,Negatif
scoop kecillll,0,Netral
berkawan pemerintah penguasa butuh duit sponsor riza halit,-1,Negatif
jokowi andil migas olah rizalpasti,1,Positif
sudirman said sakit hati mengomongnya omongan pecatan,-2,Negatif
menyimpulkan luhut sosok awasi,0,Netral
keturunan pribumi balawi eropa,0,Netral
mantap prof,1,Positif
maaf terhormat diawal pemerintahan prank pemimpin pemerintahan,0,Netral
tobat nashoha berbuat allah mengampuni,0,Netral
pemerintahan jokowi teriak memberantas korupsi menterinya membantunya dipecat menteri bersebrangan,-3,Negatif
woooy penjilat jokowi dengar tuh junjiungan,1,Positif
reza khalid sendiriantp huruf ydulu kerja diatp malang pekerja saudara nyakalau orang unsur saudara terima pekerjaannya,2,Positif
barisan sakit hati caii sesuap nasi,0,Netral
gestur bicara sudirman said berani sorot mata mahfud lihat kebawah orang koreng maling teriak maling,-1,Negatif
berat badai prabowo membersihkan korupsi mapia mengakar kebawah tanah,-2,Negatif
ketahuan si si orang partai mantan sopir ugal an,-2,Negatif
sebentar presiden saham papa saham maksudnya presiden saham sudirman said pecat menteri esdm setyo novanto e ktp saham merujuk presiden papa saham bilang setyo novanto menutupi presiden cmiiw,1,Positif
mafia jaman berantas tni jokowi menangis hati hukum rakyat allah sogok uang hsil korupsi disumbangkan,-4,Negatif
sudirman said said didu,0,Netral
jadikan presiden rc pakpasti makmur rakyat konoha,2,Positif
rusak bangsa koruptor setan berdiri mengakang menghancurkan rakyat bersatu melawan terwujud niat suci pahlawan hidup adil sejahtera,-3,Negatif
epic moment,0,Netral
bahas mudah contoh judi online mudah indonesia menghilangkan meraja rela judi online,1,Positif
pertamina rugi orangorang korup,-2,Negatif
rocky gerung jokowi komsep prinsip terombangambing,0,Netral
raja minyak susah sentuh tambang nikel tambang emas tambang batu bara mafia,-2,Negatif
korup hukum mati,-1,Negatif
asumsi pgg koruptor negerijadi kambing hitamdemo rakyat ulah dewan perwakilan rakyat persiden seakan membiarkan berlarutgk tindakan menampung aspirasi rakyat lucu,-4,Negatif
hadir indonesia bersih,0,Netral
jokowi gagal,-1,Negatif
berharap optimis sekaranglah momentum seyogyanya diambil indonesia pemerintahan bapan pemeriksa keuangan prabowo subianto bersihbersih indonesia menggapai kesejahteraan kemakmuran kedamaian hati nurani panglima mengemban tugas berani mengambil posisi presisi penjahat berkuasa negeri semoga,1,Positif
mahfud md orang pintar cerdas jujur bersanding bpak presiden prabowo mahfud pengalaman wawasan tujuan berastas koruptor knpaa plunga plongo anak perusak konsitusi demokrasi mentang mentang menjabat merusak insitusi proyek kekuasaan memenangkan anak plonga plongo umur janji juta lapangan pekerjaan boro boro juta lapangan kerja lapangan kerja kagak sosoan janjikan juta lapangan kerja keluarga mulyono anak mantu menguasai proyek nikel,4,Positif
pakahfud ngungkap ngungkap posisi menjabat,0,Netral
bongkar mafia mafia kebobrokan jokowi rusak tatanan hukum jokowi pandai memerankan sandiwara sebelah iya,-5,Negatif
satupun presiden berani melawan mafia kaki tangan mafianya bercokol lembaga negara gejala presiden membangkang demo fitnah bertebaran mengancam presiden keluarganya negeri allah menyelamatkan rakyat berdoa semoga pejabat korup kena azab dunia akhirat,-4,Negatif
purnawiran tni memakzulkan mas gibran takut terbongkar,-1,Negatif
kali tekat bersungguhsungguh mantab,0,Netral
gampang jawabannya kecilnya hidup mu gin miskin hidup lingkungannya kondusif kuper bergaul kalangan rakyat pilih pilih teman suruh diperintah jumawa,-5,Negatif
keren bapan pemeriksa keuangan podcast membuka pkiran rakyat indonesia,0,Netral
berani membongkarnyasemoga sehat prof,0,Netral
nauzubilah min zalik,0,Netral
chalid jaman sudirman said bebas,-2,Negatif
paham main power diam,0,Netral
berjuang masyarakat mahasiswa menggiring mafia dirampas asetnya bersih masyarakat bertindak terbongkar mafia menginjak injak rakyat,-5,Negatif
sadar jokomul payahparah,0,Netral
inigin menagkap khalidatasi tangan gelapitu tugas bin interpolkalo campur tangan ciamasih invat kasung bocah data rekaman setnovmasala e ktpyg meninggaldi newyorkitulah campur tangan gelap merekayg melakukankalo menonton filmmafiayg berafiliasi pemerintahyg gtulah gaya dunia nyata,2,Positif
intinya terlibat opurtunis perusak nasib bangsa mencari keuntungan peibadj rakyat dikasi nikmati rakyat cerdas kritis berubah cepat,1,Positif
sudirman sangit aslinya gang rija cholid tsk kesannya rija cholid dibuang,-3,Negatif
sudut pandang berbeda mahfud jokowi orang jujur kelilingi mafia,-1,Negatif
mudahmudahan tangkapnya oknum mafia migas memperlancar pendistribusian bbm indonesia kedepannyakarena kilang minyak kaltim susah bbm bersubsidi,-3,Negatif
muhammad riza khalid anak buah keluarga cendana orang suruhan setia perusahaan,-1,Negatif
presiden menaikan harga bbm,2,Positif
membalikkan fakta jokowi membalas fitnah dicintai rakyat,-2,Negatif
mengerikan,0,Netral
allah tolong umur kuatkan semangat orang negeri,1,Positif
presiden tersandera kepentingan,2,Positif
isi hati orang bertiga diatas allah,1,Positif
jujur berbohong sulit tebak dunia politik barat,-2,Negatif
politik ruwet,-2,Negatif
cuman mentri mengalami betapa beratnya tekanan kiri kanan presiden presiden curhat mentri mentrinya wakil partai sudirman mahfud dll sadar mudah presiden terpenting membantu presiden melaksanakan rencana rencana rakyat indonesia pembangunan merata indonesia jawa kestabilan perekonomian sudirman mahfud ditugaskan salah memberantas mafia laksanakan hambatan resiko pakai akal mu strategi mu terpenting tugas selesai harapan presiden mengeksekusi tugas kerja gelar doktor profesor dibutuhkan kepiawaian tuntas ditugaskan presiden jawabannya becus ataua mundur salah salahi presiden,5,Positif
alur cerita pablo escobarcuman mafia migas,-2,Negatif
lanjutkan bongkar tuntas terbukti koruptor tangkap adil penjara hukum mati lanjutkan selamat berjuang,2,Positif
bangsa ngerapiikk,0,Netral
jelek banget,0,Netral
sudirman said mahfud banget tendensius jokowi jujur sapa omongan orang jujur,0,Netral
coba hubungi interpol jalannya,0,Netral
mahfuz koarwaktu menko diamtaiklah fuz,0,Netral
orang lurus pisan euy,1,Positif
yaapa sesungguhnya cari,0,Netral
mbah nunibarat bus berart supir kondektur ganti mesin bus turun mesin ganti busbgtu negara orang ganti kelola tata negara rubahkrna kronis,-1,Negatif
hancur hancuran,0,Netral
membuka aeb,0,Netral
senang gue mendengarkan obrolan orang pintar jujur berani blak blak an menambah wawasan,0,Netral
